"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"v aguilar 2800, piso 9",-34.57275,-58.45046,2,,40,,35000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-colegiales-3-ambientes--10471013",45,3,"argenprop"
"guardia nacional 100, piso 7",-34.63889,-58.50447,1,1,4,6400,49000,"$",51,3.42,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-2-ambientes--10702602",54.42,2,"argenprop"
"blanco encalada 5100, piso 3",-34.57562,-58.4864,3,2,,11800,80000,"$",70,0,"https://www.argenprop.com/departamento-en-alquiler-en-urquiza-r-4-ambientes--10343534",70,4,"argenprop"
"joaquin v gonzalez 3100, piso p.b",-34.60478,-58.50384,1,1,50,,42000,"$",47,14,"https://www.argenprop.com/ph-en-alquiler-en-villa-devoto-2-ambientes--10337418",61,2,"argenprop"
"marcelo torcuato de alvear 1200",-34.59684,-58.38522,1,1,71,7200,33000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-retiro-2-ambientes--10712753",45,2,"argenprop"
"bulnes y corrientes",-34.60345,-58.41802,0,1,15,4220,30000,"$",28,0,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--10640259",28,1,"argenprop"
"thames al 2400",-34.57807,-58.42653,0,1,50,3200,33000,"$",30,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--10340688",30,1,"argenprop"
"chacabuco 200, piso 1",-34.61099,-58.37635,9,3,80,8000,65000,"$",200,10,"https://www.argenprop.com/departamento-en-alquiler-en-monserrat-10-ambientes--8538407",210,10,"argenprop"
"esmeralda 1000",-34.59626,-58.37791,0,1,2,12500,50000,"$",48,0,"https://www.argenprop.com/departamento-en-alquiler-en-retiro-1-ambiente--9741373",48,1,"argenprop"
"guayaquil 300",-34.62019,-58.43379,2,1,40,8000,55000,"$",56,9,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--10680080",65,3,"argenprop"
"v camargo 100",-34.60384,-58.43694,3,2,,29000,90000,"$",110,10,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--10712724",120,4,"argenprop"
"olavarria 589 dto 7",-34.63449,-58.36313,1,1,110,2000,19000,"$",43,0,"https://www.argenprop.com/departamento-en-alquiler-en-boca-2-ambientes--10495002",43,2,"argenprop"
